-------------------------------------------------------
NAV_START | 73 | Sat Nov 30 20:25:20 EST 2019
CUR_LOC | 40.37461217 | -80.01216426 | 9.5m/s | 259.90274m | 72 | Sat Nov 30 20:26:10 EST 2019
CUR_LOC | 40.37455037 | -80.01210456 | 8.75m/s | 251.40979m | 72 | Sat Nov 30 20:26:11 EST 2019
CUR_LOC | 40.37448824 | -80.01204658 | 8.5m/s | 242.9907m | 72 | Sat Nov 30 20:26:11 EST 2019
CUR_LOC | 40.37442741 | -80.01198517 | 8.5m/s | 234.48546m | 72 | Sat Nov 30 20:26:12 EST 2019
CUR_LOC | 40.37411352 | -80.01161681 | 6.25m/s | 187.65306m | 72 | Sat Nov 30 20:26:20 EST 2019
CUR_LOC | 40.37407917 | -80.01152179 | 6.5m/s | 179.41635m | 72 | Sat Nov 30 20:26:21 EST 2019
CUR_LOC | 40.37394874 | -80.01141639 | 7.5m/s | 162.66345m | 72 | Sat Nov 30 20:26:23 EST 2019
CUR_LOC | 40.37387039 | -80.01131973 | 7.75m/s | 150.7032m | 72 | Sat Nov 30 20:26:23 EST 2019
CUR_LOC | 40.37383638 | -80.01130616 | 7.0m/s | 147.14864m | 72 | Sat Nov 30 20:26:24 EST 2019
CUR_LOC | 40.37377704 | -80.01125449 | 7.5m/s | 139.3455m | 72 | Sat Nov 30 20:26:25 EST 2019
CUR_LOC | 40.37375644 | -80.01121396 | 7.75m/s | 135.31758m | 72 | Sat Nov 30 20:26:26 EST 2019
CUR_LOC | 40.37373974 | -80.01117407 | 7.5m/s | 131.65086m | 72 | Sat Nov 30 20:26:28 EST 2019
CUR_LOC | 40.37369547 | -80.01110556 | 7.5m/s | 124.095276m | 72 | Sat Nov 30 20:26:28 EST 2019
CUR_LOC | 40.37364983 | -80.01105382 | 7.0m/s | 117.38971m | 72 | Sat Nov 30 20:26:29 EST 2019
CUR_LOC | 40.37359484 | -80.01100796 | 7.25m/s | 110.26103m | 72 | Sat Nov 30 20:26:31 EST 2019
CUR_LOC | 40.3735253 | -80.01094218 | 8.25m/s | 100.81129m | 72 | Sat Nov 30 20:26:32 EST 2019
CUR_LOC | 40.37348626 | -80.01092512 | 8.0m/s | 96.69601m | 72 | Sat Nov 30 20:26:33 EST 2019
CUR_LOC | 40.37345333 | -80.01087156 | 7.5m/s | 90.897835m | 72 | Sat Nov 30 20:26:33 EST 2019
CUR_LOC | 40.37339424 | -80.0107984 | 8.5m/s | 81.86297m | 72 | Sat Nov 30 20:26:35 EST 2019
CUR_LOC | 40.37333882 | -80.01073761 | 8.25m/s | 73.85858m | 72 | Sat Nov 30 20:26:36 EST 2019
LOCOFF|40.37333882|-80.01073761|72 | Sat Nov 30 20:26:36 EST 2019
GPS_NOT_OFF (STD_TOO_LOW) | -13.456495 | 72 | Sat Nov 30 20:26:36 EST 2019
CUR_LOC | 40.37326869 | -80.01068465 | 8.25m/s | 274.38455m | 72 | Sat Nov 30 20:26:36 EST 2019
CUR_LOC | 40.37321246 | -80.01059106 | 9.0m/s | 274.95132m | 72 | Sat Nov 30 20:26:37 EST 2019
CUR_LOC | 40.37315491 | -80.01052421 | 8.75m/s | 277.21463m | 72 | Sat Nov 30 20:26:39 EST 2019
CUR_LOC | 40.37310256 | -80.01046768 | 8.5m/s | 279.6701m | 72 | Sat Nov 30 20:26:39 EST 2019
CUR_LOC | 40.37306749 | -80.01039345 | 8.25m/s | 279.89713m | 72 | Sat Nov 30 20:26:41 EST 2019
CUR_LOC | 40.37301979 | -80.01034104 | 7.25m/s | 282.42435m | 72 | Sat Nov 30 20:26:41 EST 2019
CUR_LOC | 40.37297481 | -80.01028915 | 6.5m/s | 284.84683m | 72 | Sat Nov 30 20:26:43 EST 2019
CUR_LOC | 40.37295256 | -80.01026256 | 4.25m/s | 286.06058m | 72 | Sat Nov 30 20:26:44 EST 2019
CUR_LOC | 40.37292688 | -80.01024362 | 2.75m/s | 287.9311m | 72 | Sat Nov 30 20:26:45 EST 2019
CUR_LOC | 40.37289855 | -80.01022063 | 2.75m/s | 289.94864m | 72 | Sat Nov 30 20:26:46 EST 2019
CUR_LOC | 40.37288824 | -80.01020876 | 2.5m/s | 290.56726m | 72 | Sat Nov 30 20:26:47 EST 2019
CUR_LOC | 40.37288205 | -80.01018254 | 2.75m/s | 290.2756m | 72 | Sat Nov 30 20:26:48 EST 2019
CUR_LOC | 40.37288158 | -80.01013401 | 4.25m/s | 288.66406m | 72 | Sat Nov 30 20:26:49 EST 2019
CUR_LOC | 40.37288995 | -80.01008107 | 4.75m/s | 286.0525m | 72 | Sat Nov 30 20:26:49 EST 2019
CUR_LOC | 40.3728938 | -80.01003317 | 4.75m/s | 284.11642m | 72 | Sat Nov 30 20:26:50 EST 2019
