-------------------------------------------------------
NAV_START | 38 | Sun Dec 01 15:57:44 EST 2019
CUR_LOC | 40.37479592 | -80.01231309 | 11.0m/s | 283.56458m | 38 | Sun Dec 01 15:58:33 EST 2019
CUR_LOC | 40.37469574 | -80.01226347 | 10.5m/s | 272.43652m | 38 | Sun Dec 01 15:58:34 EST 2019
CUR_LOC | 40.37461369 | -80.01220153 | 10.5m/s | 262.1503m | 38 | Sun Dec 01 15:58:35 EST 2019
CUR_LOC | 40.37458113 | -80.0121114 | 10.0m/s | 254.3421m | 38 | Sun Dec 01 15:58:36 EST 2019
CUR_LOC | 40.37452467 | -80.01202147 | 10.0m/s | 244.58736m | 38 | Sun Dec 01 15:58:37 EST 2019
CUR_LOC | 40.37433472 | -80.01189916 | 13.0m/s | 221.96603m | 38 | Sun Dec 01 15:58:38 EST 2019
CUR_LOC | 40.37426549 | -80.01181236 | 12.75m/s | 211.31696m | 38 | Sun Dec 01 15:58:39 EST 2019
CUR_LOC | 40.37424952 | -80.01176743 | 10.25m/s | 207.42958m | 38 | Sun Dec 01 15:58:40 EST 2019
CUR_LOC | 40.37418285 | -80.01168878 | 9.75m/s | 197.45868m | 38 | Sun Dec 01 15:58:41 EST 2019
CUR_LOC | 40.37416878 | -80.01167097 | 8.0m/s | 195.2851m | 38 | Sun Dec 01 15:58:42 EST 2019
CUR_LOC | 40.37418381 | -80.01169686 | 6.25m/s | 198.00034m | 38 | Sun Dec 01 15:58:43 EST 2019
CUR_LOC | 40.37411865 | -80.01172922 | 5.75m/s | 194.64442m | 38 | Sun Dec 01 15:58:44 EST 2019
CUR_LOC | 40.37408965 | -80.01170043 | 5.5m/s | 190.63481m | 38 | Sun Dec 01 15:58:45 EST 2019
CUR_LOC | 40.37412912 | -80.01167706 | 5.5m/s | 192.40785m | 38 | Sun Dec 01 15:58:46 EST 2019
CUR_LOC | 40.37409736 | -80.01157771 | 6.25m/s | 184.08926m | 38 | Sun Dec 01 15:58:47 EST 2019
CUR_LOC | 40.37402568 | -80.01143752 | 7.75m/s | 170.23166m | 38 | Sun Dec 01 15:58:48 EST 2019
CUR_LOC | 40.37397363 | -80.01134949 | 8.5m/s | 160.9749m | 38 | Sun Dec 01 15:58:49 EST 2019
CUR_LOC | 40.37391935 | -80.01126768 | 8.5m/s | 151.88914m | 38 | Sun Dec 01 15:58:50 EST 2019
CUR_LOC | 40.37386276 | -80.01119532 | 8.75m/s | 143.12895m | 38 | Sun Dec 01 15:58:51 EST 2019
CUR_LOC | 40.37381023 | -80.0111215 | 8.75m/s | 134.6438m | 38 | Sun Dec 01 15:58:52 EST 2019
CUR_LOC | 40.37376237 | -80.01110739 | 8.0m/s | 129.78563m | 38 | Sun Dec 01 15:58:53 EST 2019
CUR_LOC | 40.37371697 | -80.01102682 | 8.5m/s | 121.53634m | 38 | Sun Dec 01 15:58:54 EST 2019
CUR_LOC | 40.37364343 | -80.01088102 | 9.5m/s | 107.47211m | 38 | Sun Dec 01 15:58:55 EST 2019
CUR_LOC | 40.37359133 | -80.01083533 | 9.0m/s | 100.51627m | 38 | Sun Dec 01 15:58:56 EST 2019
CUR_LOC | 40.37349874 | -80.01070383 | 10.0m/s | 85.62426m | 38 | Sun Dec 01 15:58:57 EST 2019
CUR_LOC | 40.37346274 | -80.01067763 | 10.0m/s | 81.07698m | 38 | Sun Dec 01 15:58:58 EST 2019
CUR_LOC | 40.37339606 | -80.0105891 | 10.25m/s | 70.703094m | 38 | Sun Dec 01 15:58:59 EST 2019
LOCOFF|40.37339606|-80.0105891|38 | Sun Dec 01 15:58:59 EST 2019
GPS_NOT_OFF (STD_TOO_LOW) | -19.206764 | 38 | Sun Dec 01 15:58:59 EST 2019
CUR_LOC | 40.37332601 | -80.01049401 | 11.0m/s | 259.88885m | 38 | Sun Dec 01 15:59:00 EST 2019
CUR_LOC | 40.37323876 | -80.01038083 | 11.0m/s | 262.9039m | 38 | Sun Dec 01 15:59:01 EST 2019
CUR_LOC | 40.37320269 | -80.01031416 | 10.0m/s | 263.5106m | 38 | Sun Dec 01 15:59:02 EST 2019
CUR_LOC | 40.37314877 | -80.01024736 | 9.75m/s | 266.0444m | 38 | Sun Dec 01 15:59:03 EST 2019
CUR_LOC | 40.37309533 | -80.01018122 | 9.5m/s | 268.78436m | 38 | Sun Dec 01 15:59:04 EST 2019
CUR_LOC | 40.37304716 | -80.01011319 | 9.5m/s | 271.14346m | 38 | Sun Dec 01 15:59:05 EST 2019
CUR_LOC | 40.37295861 | -80.01009845 | 8.0m/s | 279.6149m | 38 | Sun Dec 01 15:59:06 EST 2019
CUR_LOC | 40.37291512 | -80.01011669 | 7.0m/s | 284.66177m | 38 | Sun Dec 01 15:59:07 EST 2019
CUR_LOC | 40.3728836 | -80.01015563 | 5.75m/s | 289.19177m | 38 | Sun Dec 01 15:59:08 EST 2019
CUR_LOC | 40.37289645 | -80.01016181 | 4.25m/s | 288.09842m | 38 | Sun Dec 01 15:59:09 EST 2019
CUR_LOC | 40.37289144 | -80.01016601 | 2.25m/s | 288.7516m | 38 | Sun Dec 01 15:59:10 EST 2019
CUR_LOC | 40.3728839 | -80.01015706 | 1.5m/s | 289.21014m | 38 | Sun Dec 01 15:59:11 EST 2019
CUR_LOC | 40.37288207 | -80.01011329 | 2.25m/s | 287.92065m | 38 | Sun Dec 01 15:59:12 EST 2019
CUR_LOC | 40.37291782 | -80.010012 | 4.0m/s | 280.97202m | 38 | Sun Dec 01 15:59:13 EST 2019
CUR_LOC | 40.37294372 | -80.00996021 | 5.0m/s | 276.68738m | 38 | Sun Dec 01 15:59:14 EST 2019
CUR_LOC | 40.37302036 | -80.00986478 | 7.25m/s | 265.8661m | 38 | Sun Dec 01 15:59:15 EST 2019
CUR_LOC | 40.37308071 | -80.00979683 | 7.75m/s | 257.60535m | 38 | Sun Dec 01 15:59:16 EST 2019
CUR_LOC | 40.37311705 | -80.00972703 | 8.0m/s | 251.86107m | 38 | Sun Dec 01 15:59:17 EST 2019
CUR_LOC | 40.37317638 | -80.00967332 | 8.5m/s | 244.17627m | 38 | Sun Dec 01 15:59:18 EST 2019
CUR_LOC | 40.37325444 | -80.0096214 | 8.5m/s | 234.57558m | 38 | Sun Dec 01 15:59:19 EST 2019
CUR_LOC | 40.3732931 | -80.00956035 | 8.25m/s | 228.94463m | 38 | Sun Dec 01 15:59:20 EST 2019
CUR_LOC | 40.37332598 | -80.00950177 | 8.0m/s | 224.04924m | 38 | Sun Dec 01 15:59:21 EST 2019
CUR_LOC | 40.373385 | -80.00941404 | 8.75m/s | 215.78735m | 38 | Sun Dec 01 15:59:22 EST 2019
CUR_LOC | 40.37345958 | -80.00935651 | 9.25m/s | 206.57266m | 38 | Sun Dec 01 15:59:23 EST 2019
CUR_LOC | 40.37353204 | -80.00929704 | 9.25m/s | 197.58954m | 38 | Sun Dec 01 15:59:24 EST 2019
CUR_LOC | 40.37357064 | -80.00921208 | 9.5m/s | 191.92006m | 38 | Sun Dec 01 15:59:25 EST 2019
CUR_LOC | 40.37363366 | -80.00914705 | 9.5m/s | 184.0522m | 38 | Sun Dec 01 15:59:26 EST 2019
CUR_LOC | 40.37370279 | -80.0090648 | 9.25m/s | 175.40915m | 38 | Sun Dec 01 15:59:27 EST 2019
