Test #1 | Time: 600 seconds | GPS: off | Screen: off
5.09,0.062,2019-11-28 16:32:24.707982
5.09,0.067,2019-11-28 16:32:25.879137
5.09,0.076,2019-11-28 16:32:27.051730
5.09,0.061,2019-11-28 16:32:28.222971
5.1,0.061,2019-11-28 16:32:29.394158
5.09,0.061,2019-11-28 16:32:30.565714
5.09,0.06,2019-11-28 16:32:31.738001
5.1,0.061,2019-11-28 16:32:32.909565
5.09,0.058,2019-11-28 16:32:34.080739
5.09,0.06,2019-11-28 16:32:35.252937
5.09,0.061,2019-11-28 16:32:36.423063
5.09,0.068,2019-11-28 16:32:37.608064
5.09,0.063,2019-11-28 16:32:38.896839
5.1,0.06,2019-11-28 16:32:40.066857
5.1,0.066,2019-11-28 16:32:41.239309
5.09,0.067,2019-11-28 16:32:42.410489
5.09,0.062,2019-11-28 16:32:43.581867
5.1,0.059,2019-11-28 16:32:44.754390
5.09,0.06,2019-11-28 16:32:45.925520
5.09,0.059,2019-11-28 16:32:47.096698
5.09,0.06,2019-11-28 16:32:48.269412
5.09,0.062,2019-11-28 16:32:49.439413
5.09,0.059,2019-11-28 16:32:50.611798
5.09,0.062,2019-11-28 16:32:51.782129
5.09,0.065,2019-11-28 16:32:52.968139
5.09,0.059,2019-11-28 16:32:54.255672
5.09,0.06,2019-11-28 16:32:55.426991
5.09,0.066,2019-11-28 16:32:56.598162
5.1,0.064,2019-11-28 16:32:57.768173
5.1,0.059,2019-11-28 16:32:58.939466
5.1,0.062,2019-11-28 16:33:00.112020
5.09,0.061,2019-11-28 16:33:01.283313
5.09,0.07,2019-11-28 16:33:02.456152
5.1,0.06,2019-11-28 16:33:03.627022
5.09,0.059,2019-11-28 16:33:04.798483
5.09,0.06,2019-11-28 16:33:05.970807
5.1,0.06,2019-11-28 16:33:07.141905
5.1,0.06,2019-11-28 16:33:08.327109
5.1,0.062,2019-11-28 16:33:09.614620
5.1,0.06,2019-11-28 16:33:10.784578
5.1,0.066,2019-11-28 16:33:11.955866
5.09,0.06,2019-11-28 16:33:13.128322
5.09,0.221,2019-11-28 16:33:14.299799
5.1,0.063,2019-11-28 16:33:15.472146
5.09,0.061,2019-11-28 16:33:16.642169
5.09,0.069,2019-11-28 16:33:17.815059
5.09,0.133,2019-11-28 16:33:18.985919
5.1,0.06,2019-11-28 16:33:20.158422
5.1,0.061,2019-11-28 16:33:21.329691
5.1,0.06,2019-11-28 16:33:22.499707
5.1,0.062,2019-11-28 16:33:23.672154
5.1,0.061,2019-11-28 16:33:24.843464
5.09,0.062,2019-11-28 16:33:26.015971
5.09,0.06,2019-11-28 16:33:27.187125
5.1,0.061,2019-11-28 16:33:28.359627
5.1,0.065,2019-11-28 16:33:29.529758
5.09,0.061,2019-11-28 16:33:30.701178
5.09,0.06,2019-11-28 16:33:31.873914
5.09,0.058,2019-11-28 16:33:33.044778
5.1,0.059,2019-11-28 16:33:34.217139
5.09,0.061,2019-11-28 16:33:35.389805
5.1,0.06,2019-11-28 16:33:36.561048
5.09,0.062,2019-11-28 16:33:37.732176
5.1,0.062,2019-11-28 16:33:38.904844
5.1,0.058,2019-11-28 16:33:40.076104
5.09,0.06,2019-11-28 16:33:41.248616
5.1,0.059,2019-11-28 16:33:42.419852
5.09,0.06,2019-11-28 16:33:43.592339
5.09,0.061,2019-11-28 16:33:44.763642
5.09,0.058,2019-11-28 16:33:45.935019
5.09,0.06,2019-11-28 16:33:47.107651
5.09,0.06,2019-11-28 16:33:48.279906
5.1,0.06,2019-11-28 16:33:49.449912
5.09,0.06,2019-11-28 16:33:50.622338
5.09,0.061,2019-11-28 16:33:51.794858
5.1,0.059,2019-11-28 16:33:52.966063
5.1,0.06,2019-11-28 16:33:54.138695
5.09,0.06,2019-11-28 16:33:55.309993
5.1,0.06,2019-11-28 16:33:56.481228
