Test #1 | Time: 600 seconds | GPS: on | Screen: off
5.1,0.076,2019-11-17 23:55:24.113371
5.1,0.077,2019-11-17 23:55:25.286927
5.1,0.076,2019-11-17 23:55:26.457010
5.09,0.076,2019-11-17 23:55:27.628237
5.09,0.076,2019-11-17 23:55:28.799444
5.1,0.076,2019-11-17 23:55:29.971881
5.1,0.081,2019-11-17 23:55:31.143325
5.09,0.08,2019-11-17 23:55:32.314967
5.09,0.077,2019-11-17 23:55:33.487058
5.09,0.089,2019-11-17 23:55:34.658342
5.09,0.076,2019-11-17 23:55:35.829524
5.09,0.077,2019-11-17 23:55:37.002105
5.1,0.079,2019-11-17 23:55:38.173411
5.09,0.08,2019-11-17 23:55:39.344752
5.09,0.113,2019-11-17 23:55:40.517029
5.09,0.076,2019-11-17 23:55:41.688439
5.09,0.175,2019-11-17 23:55:42.859686
5.1,0.076,2019-11-17 23:55:44.032227
5.1,0.079,2019-11-17 23:55:45.203530
5.09,0.077,2019-11-17 23:55:46.375828
5.09,0.138,2019-11-17 23:55:47.547255
5.09,0.079,2019-11-17 23:55:48.718535
5.1,0.084,2019-11-17 23:55:49.891030
5.1,0.079,2019-11-17 23:55:51.062099
5.09,0.083,2019-11-17 23:55:52.234796
5.09,0.083,2019-11-17 23:55:53.405976
5.1,0.079,2019-11-17 23:55:54.578585
5.1,0.076,2019-11-17 23:55:55.749725
5.1,0.077,2019-11-17 23:55:56.922413
5.09,0.105,2019-11-17 23:55:58.093629
5.1,0.076,2019-11-17 23:55:59.266164
5.1,0.076,2019-11-17 23:56:00.437467
5.1,0.081,2019-11-17 23:56:01.610323
5.09,0.085,2019-11-17 23:56:02.781340
5.1,0.076,2019-11-17 23:56:03.953700
5.1,0.078,2019-11-17 23:56:05.125128
5.09,0.077,2019-11-17 23:56:06.297519
5.1,0.081,2019-11-17 23:56:07.468789
5.09,0.079,2019-11-17 23:56:08.641273
5.1,0.076,2019-11-17 23:56:09.812701
5.1,0.076,2019-11-17 23:56:10.984899
5.09,0.076,2019-11-17 23:56:12.157554
5.09,0.079,2019-11-17 23:56:13.330053
5.09,0.078,2019-11-17 23:56:14.502591
5.1,0.088,2019-11-17 23:56:15.675119
5.1,0.077,2019-11-17 23:56:16.846767
5.1,0.077,2019-11-17 23:56:18.018879
5.1,0.076,2019-11-17 23:56:19.191417
5.09,0.076,2019-11-17 23:56:20.362718
5.09,0.096,2019-11-17 23:56:21.535167
5.1,0.079,2019-11-17 23:56:22.707694
5.09,0.079,2019-11-17 23:56:23.878972
5.1,0.08,2019-11-17 23:56:25.051525
5.1,0.079,2019-11-17 23:56:26.222771
5.09,0.085,2019-11-17 23:56:27.395264
5.09,0.084,2019-11-17 23:56:28.566545
5.1,0.081,2019-11-17 23:56:29.739050
