Test #1 | Time: 600 seconds | GPS: off | Screen: on
5.09,0.119,2019-11-18 22:32:58.088505
5.09,0.12,2019-11-18 22:32:59.259979
5.09,0.119,2019-11-18 22:33:00.432625
5.09,0.119,2019-11-18 22:33:01.602551
5.09,0.204,2019-11-18 22:33:02.774868
5.09,0.199,2019-11-18 22:33:03.946429
5.09,0.17,2019-11-18 22:33:05.118755
5.09,0.172,2019-11-18 22:33:06.289824
5.09,0.183,2019-11-18 22:33:07.461313
5.09,0.12,2019-11-18 22:33:08.632298
5.09,0.12,2019-11-18 22:33:09.803753
5.09,0.119,2019-11-18 22:33:10.975198
5.09,0.119,2019-11-18 22:33:12.147717
5.09,0.119,2019-11-18 22:33:13.318707
5.09,0.12,2019-11-18 22:33:14.490135
5.09,0.121,2019-11-18 22:33:15.661243
5.09,0.118,2019-11-18 22:33:16.832386
5.09,0.121,2019-11-18 22:33:18.006388
5.09,0.12,2019-11-18 22:33:19.175253
5.09,0.119,2019-11-18 22:33:20.347515
5.09,0.121,2019-11-18 22:33:21.518637
5.09,0.12,2019-11-18 22:33:22.688905
5.09,0.118,2019-11-18 22:33:23.861302
5.09,0.165,2019-11-18 22:33:25.031477
5.09,0.156,2019-11-18 22:33:26.202676
5.09,0.12,2019-11-18 22:33:27.375059
5.09,0.121,2019-11-18 22:33:28.546163
5.09,0.12,2019-11-18 22:33:29.717523
5.09,0.121,2019-11-18 22:33:30.888792
5.09,0.123,2019-11-18 22:33:32.060058
5.09,0.119,2019-11-18 22:33:33.231271
5.09,0.119,2019-11-18 22:33:34.405036
5.09,0.118,2019-11-18 22:33:35.585194
5.09,0.12,2019-11-18 22:33:36.872562
5.09,0.12,2019-11-18 22:33:38.043866
5.09,0.121,2019-11-18 22:33:39.215657
5.09,0.119,2019-11-18 22:33:40.386292
5.09,0.129,2019-11-18 22:33:41.561287
5.09,0.119,2019-11-18 22:33:42.730122
5.09,0.118,2019-11-18 22:33:43.901314
5.09,0.12,2019-11-18 22:33:45.072564
5.09,0.121,2019-11-18 22:33:46.245106
5.09,0.117,2019-11-18 22:33:47.415090
5.09,0.12,2019-11-18 22:33:48.586319
5.09,0.121,2019-11-18 22:33:49.760116
5.09,0.119,2019-11-18 22:33:50.941340
5.09,0.121,2019-11-18 22:33:52.228832
5.09,0.119,2019-11-18 22:33:53.398744
5.09,0.121,2019-11-18 22:33:54.571748
5.09,0.123,2019-11-18 22:33:55.741347
5.09,0.125,2019-11-18 22:33:56.912610
5.09,0.12,2019-11-18 22:33:58.083894
5.09,0.119,2019-11-18 22:33:59.255104
5.1,0.119,2019-11-18 22:34:00.427841
5.09,0.121,2019-11-18 22:34:01.597660
5.09,0.118,2019-11-18 22:34:02.768836
5.09,0.118,2019-11-18 22:34:03.941358
5.09,0.121,2019-11-18 22:34:05.111352
5.09,0.119,2019-11-18 22:34:06.282477
5.09,0.183,2019-11-18 22:34:07.453994
5.09,0.121,2019-11-18 22:34:08.625573
5.09,0.119,2019-11-18 22:34:09.796468
5.09,0.123,2019-11-18 22:34:10.967690
5.09,0.121,2019-11-18 22:34:12.138943
5.09,0.12,2019-11-18 22:34:13.310190
5.09,0.119,2019-11-18 22:34:14.482689
5.09,0.119,2019-11-18 22:34:15.652695
5.09,0.119,2019-11-18 22:34:16.824004
5.09,0.121,2019-11-18 22:34:17.993969
5.09,0.119,2019-11-18 22:34:19.166411
5.09,0.12,2019-11-18 22:34:20.342703
5.09,0.119,2019-11-18 22:34:21.509055
5.09,0.118,2019-11-18 22:34:22.680751
